,pdfFile,txtFile,eventDate,eventPlace,locList,geoEvents
260,50.Gura%20Vitioarei-proces%20verbal%20nr.4685%20%20din%2002.08.2018.pdf,50.Gura%20Vitioarei-proces%20verbal%20nr.4685%20%20din%2002.08.2018.txt,02.08.2018,Gura Vitioarei,"['ROMANIA', 'Gura Vitioarei\n\nUrmare', 'Bughea de Jos', 'DC 17', 'Bughea', 'Bughea de Jos', 'DC 17', 'Bughea de Jos', 'DC 17', 'Bughea de Jos', 'DC 17', 'Poiana Copaceni', 'Dn 100 mm', 'Judetul Prahova', 'Judetul Prahova', 'erodari de', 'Gura Vitioarei']",[]
261,51.Magureni-proces%20verbal%20nr.13084%20%20din%2002.08.2018.pdf,51.Magureni-proces%20verbal%20nr.13084%20%20din%2002.08.2018.txt,02.08.2018,Magureni,"['ROMANIA', 'Magureni\n\n', 'Prefeetului', 'judetul Prahova', 'Prahova', 'Magureni', 'judetul Prahova', 'Zona Seaca', 'Drumul sdtese Valea - Seacd', 'Valea - Seaci', 'Zona DJ 145\nin punctele:', 'DJ 145', 'Zona Ruda\n\nDC 115 B', 'DC 115 B', 'Prahova', 'Prahova', 'Prahova', 'erodari de\ntaluzurt', 'Magureni', 'Magureni', 'Prahova', 'Magureni']",[]
262,5115%20din%2028.07.2017.pdf,5115%20din%2028.07.2017.txt,28.07.2017,-ROMANIA,"['-ROMANIA', 'Gura Vitioarei\n\nfn urma', 'Prahova', 'Gura Vitioarei', 'judetul Prahova', 'Bughea de Jos', 'pietonal si', 'Bughea de Jos si Bughea de Sus', 'Bughea de Jos', 'DC 17', 'paraului Bughea\n', 'Bughea de Jos', 'paraului Bughea\n', 'Prahova', 'Prahova', 'erodari de', 'Gura Vitioarei', 'siguranté', 'Gura Vitioarei\n\nTermen: urgent', 'Gura Vitioarei', 'Bughea', 'Gura\nVitioarei', 'Gura Vitioarei']",[]
263,5146%20din%2009.05.2017.pdf,5146%20din%2009.05.2017.txt,09.05.2017,7731/I/E/2/VI,"['ROMANIA', '7731/I/E/2/VI', '.G.A. Prahova', 'Busteni', 'judetul Prahova', 'paraul Valea Cerbului', 'raului Prahova', 'strada Nestor Urechea', 'Albia vaii in', 'raul Prahova', 'strada Gloriei si strada Splaiul\nZamorei', 'grinzi-rigle', 'Busteni', 'Prahova', 'erodari de', 'raul Prahova', 'strada Gloriei si strada Splaiul Zamorei', 'Valea Cerbului', 'Valea Cerbului', 'Prahova', 'Valea Cerbului\n\nPrezentul proces verbal contine']",[]
264,5161.pdf,5161.txt,12.08.2014,Izvoarele,"['ROMANIA', 'Izvoarele\n\nUrmare', 'Prahova', 'constatare/evaluare', 'Prahova', 'Izvoarele', 'str. Soresti', 'str. Valea Mare', 'str. Crasna', 'Homoraciu', 'str. Valcel', 'str. Trache', 'str. Coast’', 'str. Poduri - spalare carosabil din balast\nsi piatra sparti', 'fagase\n\nadanci', 'si piatra sparta', 'erodari de']",[]
265,5173-09.04.2015.pdf,5173-09.04.2015.txt,09.04.2015,orasului Breaza,"['ROMANIA', 'orasului Breaza\n\nUrmare adreselor', 'Prahova', 'orasului Breaza', 'alunecata', 'Breaza™', 'cartier Nistoresti', 'strada Muresului 44A, proprietar familia Aichel, locuinta\ndemisol, parter si pod', 'Prahova', 'erodari de', 'Prahova']",[]
266,52.Stefesti-proces%20verbal%20nr.2089%20%20din%2013.08.2018.pdf,52.Stefesti-proces%20verbal%20nr.2089%20%20din%2013.08.2018.txt,13.08.2018,.G.A. Prahova,"['ROMANIA', '.G.A. Prahova\n\n- primar Tabaras Vasile', 'Stefesti', 'Stefesti', 'DC Gaina', 'Valea Poienii', 'Valea Poienii', 'Stefesti', 'Prahova', 'erodari de', 'Stefesti']",[]
267,5223%20din%2008.05.2017.pdf,5223%20din%2008.05.2017.txt,08.05.2017,Maneciu,"['ROMANIA', 'Maneciu', 'Maneciu', 'judetul Prahova', 'Mentionam', 'surpari si', 'Maneciu', 'Prahova', 'erodari de']",[]
268,5288%20din%2013.03.2018.pdf,5288%20din%2013.03.2018.txt,13.03.2018,.G.A. Prahova,"['ROMANIA', '.G.A. Prahova', 'strada Plaiului', 'Judetul Prahova', 'Judetul Prahova', 'Prahova', 'erodari de', 'si pepe']",[]
269,5292%20din%2022.06.2016.pdf,5292%20din%2022.06.2016.txt,16.06.2016,TELEGA,"['ROMANIA', 'TELEGA', 'Telega', 'nr. 9953/II/E/2/CT', 'Prahova', 'Telega', 'judetul Prahova', 'Melicesti', 'Calcea', 'si podetul tubular', 'versantul de pe partea stanga', 'Calcea', 'Melicesti', 'DC133 Bustenari', 'Telega', 'DC11C', 'Telega', 'Bustenari', 'DJ100E', 'zona km 11+800)', 'versantul de', 'Telega', 'Sarata', 'DJIOOE', 'zona km 8+950', 'sténg', 'paraului Telega', 'Sarata', 'Telega', 'Telega', 'Telega', 'Telega', 'Telega', 'Telega nr. 311', 'Jungime', 'Telega', 'Telega nr.612Bis', 'Telega', 'Telega Vale nr.400', 'Telega', 'Bustenari', 'Telega', 'Prahova', 'erodari de', 'Telega', 'Bustenari', 'Judetul Prahova', 'Telega', 'Prahova']",[]
